date,News_Sentiment_Directional
2021-04-11,-1
2021-04-18,0
2021-04-25,-1
2021-05-02,0
2021-05-09,-1
2021-05-16,0
2021-05-23,-1
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,-1
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,-1
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,-1
2021-08-22,0
2021-08-29,-1
2021-09-05,-1
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,-1
2021-10-10,0
2021-10-17,-1
2021-10-24,0
2021-10-31,0
2021-11-07,-1
2021-11-14,0
2021-11-21,-1
2021-11-28,-1
2021-12-05,0
2021-12-12,-1
2021-12-19,0
2021-12-26,0
2022-01-02,-1
2022-01-09,0
2022-01-16,0
2022-01-23,-1
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,-1
2022-02-27,0
2022-03-06,-1
2022-03-13,-1
2022-03-20,-1
2022-03-27,-1
2022-04-03,0
2022-04-10,0
2022-04-17,-1
2022-04-24,0
2022-05-01,-1
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,-1
2022-06-05,-1
2022-06-12,0
2022-06-19,-1
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,-1
2022-07-24,-1
2022-07-31,-1
2022-08-07,-1
2022-08-14,-1
2022-08-21,-1
2022-08-28,-1
2022-09-04,0
2022-09-11,0
2022-09-18,-1
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,1
2022-10-23,-1
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,-1
2022-12-11,0
2022-12-18,-1
2022-12-25,-1
2023-01-01,-1
2023-01-08,-1
2023-01-15,0
2023-01-22,0
2023-01-29,-1
2023-02-05,-1
2023-02-12,0
2023-02-19,-1
2023-02-26,-1
2023-03-05,0
2023-03-12,-1
2023-03-19,-1
2023-03-26,-1
2023-04-02,1
2023-04-09,0
2023-04-16,-1
2023-04-23,0
2023-04-30,-1
2023-05-07,-1
2023-05-14,-1
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,-1
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,0
2024-02-25,0
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,-1
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,0
2024-07-21,0
2024-07-28,0
2024-08-04,0
2024-08-11,0
2024-08-18,1
2024-08-25,0
2024-09-01,0
2024-09-08,0
2024-09-15,1
2024-09-22,0
2024-09-29,0
2024-10-06,0
2024-10-13,0
2024-10-20,0
2024-10-27,0
2024-11-03,0
2024-11-10,1
2024-11-17,1
2024-11-24,0
2024-12-01,0
2024-12-08,0
2024-12-15,0
2024-12-22,-1
2024-12-29,1
2025-01-05,0
2025-01-12,0
2025-01-19,0
2025-01-26,0
2025-02-02,-1
2025-02-09,0
2025-02-16,0
2025-02-23,0
2025-03-02,0
2025-03-09,0
2025-03-16,0
2025-03-23,0
2025-03-30,-1
2025-04-06,1
2025-04-13,0
2025-04-20,0
2025-04-27,0
2025-05-04,1
2025-05-11,1
2025-05-18,0
2025-05-25,0
2025-06-01,0
2025-06-08,-1
2025-06-15,-1
2025-06-22,0
2025-06-29,-1
2025-07-06,0
2025-07-13,0
2025-07-20,0
2025-07-27,0
2025-08-03,0
